Scientific Name,Common Name,eBird Reporting Rate,eBird Preference Ratio,BirdTrack Reporting Rate,BirdTrack Preference Ratio
Acanthis cabaret,NA,Not in dataset,Not in dataset,3.320%,1.010 [0.803; 1.217]
Acanthis flammea,Redpoll,2.868%,1.313 [1.234; 1.395],0.052%,2.223 [0.000; 4.721]
Acanthis hornemanni,NA,Not in dataset,Not in dataset,0.001%,No estimate
Accipiter nisus,Eurasian Sparrowhawk,8.290%,1.425 [1.375; 1.475],7.802%,1.032 [0.904; 1.172]
Acrocephalus agricola,Paddyfield Warbler,0.000%,No estimate,Not in dataset,Not in dataset
Acrocephalus arundinaceus,Great Reed Warbler,0.042%,No estimate,0.019%,3.920 [1.234; 8.338]
Acrocephalus dumetorum,Blyth's Reed Warbler,0.015%,No estimate,0.012%,4.600 [0.000; 23.99]
Acrocephalus paludicola,Aquatic Warbler,Not in dataset,Not in dataset,0.001%,No estimate
Acrocephalus palustris,Marsh Warbler,0.008%,No estimate,0.011%,No estimate
Acrocephalus schoenobaenus,Sedge Warbler,5.519%,0.785 [0.747; 0.824],6.715%,0.880 [0.733; 1.027]
Acrocephalus scirpaceus,Common Reed Warbler,6.024%,0.545 [0.515; 0.575],6.438%,0.704 [0.568; 0.847]
Actitis hypoleucos,Common Sandpiper,2.989%,0.996 [0.934; 1.064],3.337%,1.212 [0.988; 1.458]
Actitis macularius,Spotted Sandpiper,0.008%,No estimate,Not in dataset,Not in dataset
Aegithalos caudatus,Long-tailed Tit,25.13%,0.851 [0.832; 0.869],25.50%,0.644 [0.590; 0.706]
Aix galericulata,Mandarin Duck,1.931%,1.872 [1.744; 2.030],1.136%,1.346 [1.020; 1.729]
Aix sponsa,Wood Duck,Not in dataset,Not in dataset,0.017%,2.322 [0.000; 8.818]
Alauda arvensis,Eurasian Skylark,16.23%,1.001 [0.974; 1.030],18.52%,0.999 [0.921; 1.087]
Alca torda,Razorbill,2.276%,0.478 [0.435; 0.526],1.644%,0.357 [0.206; 0.534]
Alcedo atthis,Common Kingfisher,4.100%,0.919 [0.865; 0.977],5.379%,1.225 [1.041; 1.410]
Alectoris rufa,Red-legged Partridge,3.406%,1.969 [1.868; 2.085],5.015%,1.747 [1.513; 1.992]
Alle alle,Dovekie,0.103%,1.295 [0.892; 1.950],0.053%,1.771 [0.926; 3.607]
Alopochen aegyptiaca,Egyptian Goose,6.926%,1.405 [1.350; 1.462],5.892%,0.772 [0.619; 0.929]
Anarhynchus alexandrinus,Kentish Plover,0.007%,32.50 [12.00; Inf],0.004%,No estimate
Anas acuta,Northern Pintail,2.689%,0.575 [0.528; 0.622],2.324%,0.942 [0.670; 1.256]
Anas bahamensis,White-cheeked Pintail,Not in dataset,Not in dataset,0.001%,No estimate
Anas carolinensis,NA,Not in dataset,Not in dataset,0.017%,5.049 [1.067; 12.03]
Anas crecca,Green-winged Teal,16.24%,0.759 [0.738; 0.783],16.70%,0.478 [0.409; 0.541]
Anas flavirostris,Yellow-billed Teal,Not in dataset,Not in dataset,0.001%,No estimate
Anas platyrhynchos,Mallard,44.37%,0.865 [0.852; 0.876],44.18%,0.737 [0.693; 0.785]
Anser albifrons,Greater White-fronted Goose,0.534%,1.336 [1.148; 1.554],0.402%,1.846 [1.132; 2.643]
Anser anser,Graylag Goose,20.07%,1.033 [1.009; 1.057],20.31%,1.324 [1.216; 1.425]
Anser brachyrhynchus,Pink-footed Goose,2.665%,2.019 [1.902; 2.156],2.720%,1.979 [1.687; 2.298]
Anser caerulescens,Snow Goose,0.009%,No estimate,0.134%,3.501 [1.882; 5.675]
Anser canagicus,Emperor Goose,Not in dataset,Not in dataset,0.003%,No estimate
Anser cygnoides,Swan Goose,Not in dataset,Not in dataset,0.041%,No estimate
Anser erythropus,Lesser White-fronted Goose,Not in dataset,Not in dataset,0.001%,No estimate
Anser fabalis,Taiga Bean-Goose,0.031%,3.025 [1.818; 5.502],0.015%,7.518 [2.425; 12.77]
Anser indicus,Bar-headed Goose,Not in dataset,Not in dataset,0.098%,2.216 [0.508; 4.700]
Anser rossii,Ross's Goose,0.001%,No estimate,0.028%,6.651 [2.250; 11.46]
Anser serrirostris,Tundra Bean-Goose,0.078%,4.747 [3.568; 6.793],0.049%,1.585 [0.675; 4.562]
Anthus campestris,Tawny Pipit,0.005%,No estimate,Not in dataset,Not in dataset
Anthus cervinus,Red-throated Pipit,0.002%,No estimate,0.003%,No estimate
Anthus hodgsoni,Olive-backed Pipit,0.016%,No estimate,Not in dataset,Not in dataset
Anthus petrosus,Rock Pipit,3.114%,1.073 [1.011; 1.143],2.358%,0.575 [0.428; 0.741]
Anthus pratensis,Meadow Pipit,16.38%,0.896 [0.870; 0.920],15.80%,0.581 [0.516; 0.647]
Anthus richardi,Richard's Pipit,0.011%,No estimate,0.006%,No estimate
Anthus rubescens,American Pipit,0.004%,No estimate,0.003%,No estimate
Anthus spinoletta,Water Pipit,0.280%,2.159 [1.778; 2.652],0.191%,1.774 [0.764; 2.818]
Anthus trivialis,Tree Pipit,0.707%,0.773 [0.658; 0.891],0.680%,1.030 [0.674; 1.411]
Apus affinis,Little Swift,0.000%,No estimate,Not in dataset,Not in dataset
Apus apus,Common Swift,9.811%,1.825 [1.772; 1.884],9.027%,1.405 [1.288; 1.518]
Apus pacificus,Pacific Swift,0.003%,No estimate,Not in dataset,Not in dataset
Aquila chrysaetos,Golden Eagle,Not in dataset,Not in dataset,0.110%,1.979 [1.321; 2.771]
Ara macao,Scarlet Macaw,Not in dataset,Not in dataset,0.001%,No estimate
Ardea alba,Great Egret,3.001%,0.975 [0.912; 1.043],2.584%,1.688 [1.390; 2.031]
Ardea cinerea,Gray Heron,24.84%,0.830 [0.811; 0.849],24.48%,0.783 [0.712; 0.855]
Ardea ibis,Western Cattle-Egret,0.619%,5.064 [4.413; 5.714],0.496%,2.835 [2.093; 3.742]
Ardea purpurea,Purple Heron,0.018%,No estimate,0.020%,No estimate
Ardenna gravis,Great Shearwater,0.006%,No estimate,0.009%,No estimate
Ardenna grisea,Sooty Shearwater,0.146%,No estimate,0.110%,1.868 [0.588; 3.334]
Ardeola ralloides,Squacco Heron,0.002%,No estimate,Not in dataset,Not in dataset
Arenaria interpres,Ruddy Turnstone,4.493%,1.315 [1.248; 1.393],3.545%,0.786 [0.629; 0.965]
Asio flammeus,Short-eared Owl,0.382%,1.983 [1.699; 2.407],0.338%,2.256 [1.656; 3.022]
Asio otus,Long-eared Owl,Not in dataset,Not in dataset,0.049%,1.685 [0.598; 3.489]
Astur gentilis,Eurasian Goshawk,0.049%,2.137 [1.375; 3.688],0.319%,1.810 [1.151; 2.522]
Athene noctua,Little Owl,0.813%,2.293 [2.048; 2.587],0.617%,1.631 [1.181; 2.109]
Aythya affinis,Lesser Scaup,0.016%,No estimate,0.009%,No estimate
Aythya collaris,Ring-necked Duck,0.201%,1.614 [1.266; 2.057],0.125%,3.445 [2.086; 4.976]
Aythya ferina,Common Pochard,6.965%,0.391 [0.371; 0.416],5.597%,0.393 [0.274; 0.514]
Aythya fuligula,Tufted Duck,19.91%,0.948 [0.926; 0.971],19.61%,0.444 [0.383; 0.506]
Aythya marila,Greater Scaup,0.528%,0.642 [0.539; 0.762],0.414%,2.124 [1.358; 3.005]
Aythya novaeseelandiae,New Zealand Scaup,Not in dataset,Not in dataset,0.004%,No estimate
Aythya nyroca,Ferruginous Duck,0.028%,No estimate,0.012%,5.135 [0.000; 8.977]
Bombycilla garrulus,Bohemian Waxwing,0.004%,No estimate,0.003%,No estimate
Botaurus stellaris,Eurasian Bittern,0.857%,0.793 [0.696; 0.914],0.826%,2.051 [1.406; 2.779]
Branta bernicla,Brant,2.816%,1.230 [1.151; 1.316],2.212%,1.833 [1.514; 2.161]
Branta canadensis,Canada Goose,26.13%,1.152 [1.130; 1.174],23.63%,1.086 [1.011; 1.162]
Branta hutchinsii,Cackling Goose,0.010%,No estimate,0.007%,No estimate
Branta leucopsis,Barnacle Goose,1.277%,1.500 [1.378; 1.647],1.285%,1.456 [1.060; 1.953]
Branta ruficollis,Red-breasted Goose,0.002%,No estimate,0.007%,No estimate
Bubo scandiacus,Snowy Owl,0.000%,No estimate,Not in dataset,Not in dataset
Bucephala albeola,Bufflehead,0.003%,No estimate,0.001%,No estimate
Bucephala clangula,Common Goldeneye,3.123%,0.911 [0.851; 0.970],3.773%,0.908 [0.716; 1.073]
Burhinus oedicnemus,Eurasian Thick-knee,0.000%,No estimate,0.147%,2.642 [1.533; 4.008]
Buteo buteo,Common Buzzard,24.03%,1.237 [1.213; 1.260],26.37%,0.991 [0.928; 1.061]
Buteo lagopus,Rough-legged Hawk,0.001%,No estimate,0.009%,No estimate
Cairina moschata,Muscovy Duck,Not in dataset,Not in dataset,0.136%,0.954 [0.220; 2.045]
Calandrella brachydactyla,Greater Short-toed Lark,0.028%,4.454 [2.500; 9.286],0.009%,No estimate
Calcarius lapponicus,Lapland Longspur,0.047%,No estimate,0.039%,0.827 [0.000; 2.938]
Calidris alba,Sanderling,1.797%,1.120 [1.023; 1.219],1.399%,1.267 [0.951; 1.613]
Calidris alpina,Dunlin,6.090%,0.790 [0.752; 0.830],5.267%,0.593 [0.456; 0.733]
Calidris bairdii,Baird's Sandpiper,0.005%,No estimate,0.001%,No estimate
Calidris canutus,Red Knot,1.448%,0.960 [0.869; 1.063],1.419%,0.478 [0.251; 0.758]
Calidris falcinellus,Broad-billed Sandpiper,0.003%,62.00 [15.66; Inf],Not in dataset,Not in dataset
Calidris ferruginea,Curlew Sandpiper,0.330%,0.383 [0.279; 0.500],0.239%,0.877 [0.223; 1.788]
Calidris fuscicollis,White-rumped Sandpiper,0.036%,2.500 [1.555; 4.500],0.011%,4.466 [0.000; 19.74]
Calidris maritima,Purple Sandpiper,0.545%,2.030 [1.764; 2.364],0.557%,1.223 [0.791; 1.727]
Calidris mauri,Western Sandpiper,0.036%,No estimate,0.017%,7.522 [0.000; 13.69]
Calidris melanotos,Pectoral Sandpiper,0.210%,1.123 [0.873; 1.445],0.150%,4.752 [2.825; 7.221]
Calidris minuta,Little Stint,0.492%,0.194 [0.140; 0.252],0.422%,1.754 [0.976; 2.732]
Calidris pugnax,Ruff,2.059%,0.600 [0.546; 0.661],1.853%,0.681 [0.438; 0.993]
Calidris pusilla,Semipalmated Sandpiper,0.007%,No estimate,0.004%,No estimate
Calidris ruficollis,Red-necked Stint,0.018%,No estimate,0.004%,No estimate
Calidris subminuta,Long-toed Stint,0.075%,No estimate,0.028%,4.445 [0.000; 10.21]
Calidris subruficollis,Buff-breasted Sandpiper,0.012%,No estimate,0.004%,No estimate
Calidris temminckii,Temminck's Stint,0.048%,No estimate,0.052%,4.215 [1.826; 8.233]
Callonetta leucophrys,Ringed Teal,Not in dataset,Not in dataset,0.001%,No estimate
Calonectris borealis,Cory's Shearwater,0.002%,No estimate,0.001%,No estimate
Caprimulgus europaeus,Eurasian Nightjar,0.087%,No estimate,0.045%,1.541 [0.453; 2.579]
Carduelis carduelis,European Goldfinch,47.94%,0.995 [0.982; 1.008],47.01%,0.936 [0.891; 0.980]
Carpodacus erythrinus,Common Rosefinch,0.030%,5.348 [2.927; 11.75],0.023%,2.506 [0.000; 4.998]
Cecropis rufula,European Red-rumped Swallow,0.014%,No estimate,0.004%,No estimate
Cepphus grylle,Black Guillemot,0.628%,1.668 [1.459; 1.897],0.547%,1.085 [0.676; 1.528]
Cercotrichas galactotes,Rufous-tailed Scrub-Robin,0.005%,69.50 [19.66; Inf],0.001%,No estimate
Certhia familiaris,Eurasian Treecreeper,5.691%,1.013 [0.968; 1.061],7.210%,0.646 [0.539; 0.761]
Cettia cetti,Cetti's Warbler,8.688%,0.497 [0.473; 0.519],9.130%,0.989 [0.849; 1.140]
Charadrius hiaticula,Common Ringed Plover,4.314%,0.987 [0.932; 1.044],4.048%,0.715 [0.569; 0.889]
Chlidonias hybrida,Whiskered Tern,0.017%,No estimate,0.007%,No estimate
Chlidonias leucopterus,White-winged Tern,0.004%,No estimate,Not in dataset,Not in dataset
Chlidonias niger,Black Tern,0.171%,0.509 [0.358; 0.696],0.148%,2.625 [1.209; 4.307]
Chloris chloris,European Greenfinch,19.87%,1.201 [1.176; 1.231],20.65%,1.075 [1.000; 1.152]
Chroicocephalus philadelphia,Bonaparte's Gull,0.054%,2.129 [1.382; 3.429],0.042%,2.868 [1.076; 8.097]
Chroicocephalus ridibundus,Black-headed Gull,46.90%,0.962 [0.950; 0.975],42.67%,0.861 [0.815; 0.908]
Chrysolophus pictus,Golden Pheasant,0.001%,No estimate,0.003%,No estimate
Ciconia ciconia,White Stork,Not in dataset,Not in dataset,0.083%,1.958 [1.087; 3.783]
Ciconia nigra,Black Stork,0.057%,No estimate,0.049%,3.161 [1.504; 7.663]
Cinclus cinclus,White-throated Dipper,1.011%,2.212 [2.004; 2.455],1.802%,1.743 [1.441; 2.046]
Circus aeruginosus,Western Marsh Harrier,5.393%,0.852 [0.809; 0.897],4.872%,1.115 [0.927; 1.296]
Circus cyaneus,Hen Harrier,0.246%,2.578 [2.120; 3.198],0.577%,3.075 [2.445; 3.687]
Circus macrourus,Pallid Harrier,0.001%,No estimate,Not in dataset,Not in dataset
Circus pygargus,Montagu's Harrier,Not in dataset,Not in dataset,0.001%,No estimate
Clangula hyemalis,Long-tailed Duck,0.454%,2.525 [2.192; 2.976],0.397%,2.003 [1.374; 2.788]
Coccothraustes coccothraustes,Hawfinch,0.201%,No estimate,0.129%,2.662 [1.712; 4.292]
Coloeus monedula,Eurasian Jackdaw,46.23%,1.038 [1.025; 1.052],48.89%,0.923 [0.883; 0.964]
Columba livia,Rock Pigeon,25.13%,2.111 [2.072; 2.152],19.90%,0.989 [0.944; 1.041]
Columba oenas,Stock Dove,17.62%,0.591 [0.574; 0.609],15.84%,0.584 [0.513; 0.664]
Columba palumbus,Common Wood-Pigeon,74.25%,0.885 [0.879; 0.893],75.21%,1.415 [1.379; 1.450]
Coracias garrulus,European Roller,0.056%,8.711 [6.080; 13.33],0.025%,2.497 [1.586; 5.171]
Corvus corax,Common Raven,6.672%,1.453 [1.397; 1.517],7.245%,1.133 [1.004; 1.263]
Corvus cornix,Hooded Crow,1.663%,1.916 [1.771; 2.078],1.069%,0.799 [0.569; 1.062]
Corvus corone,Carrion Crow,65.64%,0.816 [0.809; 0.824],66.27%,0.903 [0.869; 0.940]
Corvus frugilegus,Rook,18.46%,1.304 [1.274; 1.334],19.27%,0.976 [0.901; 1.059]
Coturnix coturnix,Common Quail,0.059%,7.261 [5.297; 10.75],0.050%,3.352 [1.486; 7.311]
Crex crex,Corn Crake,0.000%,No estimate,0.077%,3.630 [1.979; 6.086]
Cuculus canorus,Common Cuckoo,2.535%,1.414 [1.321; 1.506],3.051%,2.076 [1.796; 2.389]
Curruca cantillans,Eastern Subalpine Warbler,0.007%,No estimate,Not in dataset,Not in dataset
Curruca communis,Greater Whitethroat,10.22%,0.725 [0.698; 0.754],10.86%,0.968 [0.851; 1.081]
Curruca curruca,Lesser Whitethroat,1.925%,0.702 [0.637; 0.774],1.881%,0.921 [0.671; 1.251]
Curruca iberiae,Western Subalpine Warbler,0.004%,No estimate,Not in dataset,Not in dataset
Curruca melanocephala,Sardinian Warbler,0.000%,No estimate,Not in dataset,Not in dataset
Curruca nisoria,Barred Warbler,0.031%,2.333 [1.500; 3.923],0.014%,4.956 [1.603; 8.702]
Curruca undata,Dartford Warbler,Not in dataset,Not in dataset,0.609%,0.946 [0.549; 1.406]
Cyanistes caeruleus,Eurasian Blue Tit,58.03%,0.912 [0.902; 0.922],58.39%,0.972 [0.931; 1.012]
Cygnus atratus,Black Swan,Not in dataset,Not in dataset,0.403%,1.138 [0.474; 1.845]
Cygnus columbianus,Tundra Swan,0.140%,0.653 [0.463; 0.908],0.085%,1.855 [0.473; 3.556]
Cygnus cygnus,Whooper Swan,1.124%,2.918 [2.674; 3.211],1.468%,2.154 [1.770; 2.553]
Cygnus olor,Mute Swan,27.59%,0.956 [0.939; 0.975],27.50%,1.719 [1.633; 1.819]
Delichon urbicum,Western House-Martin,8.586%,1.550 [1.499; 1.602],8.710%,0.921 [0.820; 1.036]
Dendrocopos major,Great Spotted Woodpecker,18.26%,1.031 [1.003; 1.059],18.11%,0.817 [0.739; 0.895]
Dryobates minor,Lesser Spotted Woodpecker,0.131%,1.652 [1.249; 2.226],0.106%,1.482 [0.338; 3.056]
Egretta garzetta,Little Egret,15.20%,1.021 [0.994; 1.050],15.31%,0.987 [0.891; 1.089]
Emberiza calandra,Corn Bunting,1.201%,1.986 [1.797; 2.184],1.098%,1.592 [1.205; 2.046]
Emberiza cirlus,Cirl Bunting,0.054%,2.000 [1.285; 3.421],0.058%,4.636 [2.230; 6.877]
Emberiza citrinella,Yellowhammer,6.630%,1.332 [1.279; 1.393],8.856%,0.950 [0.833; 1.066]
Emberiza hortulana,Ortolan Bunting,0.002%,No estimate,Not in dataset,Not in dataset
Emberiza pusilla,Little Bunting,0.090%,No estimate,0.039%,1.208 [0.000; 3.005]
Emberiza rustica,Rustic Bunting,0.040%,4.571 [2.705; 8.628],0.023%,No estimate
Emberiza schoeniclus,Reed Bunting,14.63%,0.548 [0.530; 0.567],17.24%,0.390 [0.327; 0.450]
Eremophila alpestris,Horned Lark,0.088%,2.161 [1.566; 3.147],0.041%,3.221 [1.184; 6.277]
Erithacus rubecula,European Robin,62.36%,0.954 [0.944; 0.963],61.88%,1.592 [1.541; 1.643]
Eudromias morinellus,Eurasian Dotterel,0.034%,No estimate,0.031%,3.451 [2.207; 5.233]
Falco columbarius,Merlin,0.509%,1.526 [1.312; 1.796],0.468%,1.630 [1.052; 2.377]
Falco peregrinus,Peregrine Falcon,2.063%,2.414 [2.260; 2.575],3.458%,2.085 [1.858; 2.327]
Falco subbuteo,Eurasian Hobby,1.724%,1.457 [1.345; 1.569],1.532%,1.850 [1.482; 2.298]
Falco tinnunculus,Eurasian Kestrel,15.35%,1.048 [1.018; 1.076],14.87%,0.984 [0.894; 1.069]
Falco vespertinus,Red-footed Falcon,0.025%,No estimate,0.012%,11.86 [3.087; 21.15]
Ficedula albicilla,Taiga Flycatcher,0.013%,No estimate,0.006%,No estimate
Ficedula hypoleuca,European Pied Flycatcher,0.438%,1.394 [1.188; 1.648],0.414%,2.523 [1.842; 3.306]
Ficedula parva,Red-breasted Flycatcher,0.037%,No estimate,0.007%,No estimate
Fratercula arctica,Atlantic Puffin,0.710%,0.572 [0.488; 0.683],0.474%,1.237 [0.695; 1.874]
Fringilla coelebs,Common Chaffinch,36.85%,0.887 [0.874; 0.902],40.57%,0.877 [0.828; 0.927]
Fringilla montifringilla,Brambling,1.331%,0.971 [0.877; 1.072],1.220%,1.768 [1.352; 2.205]
Fulica atra,Eurasian Coot,25.08%,0.927 [0.909; 0.947],23.97%,0.508 [0.452; 0.572]
Fulmarus glacialis,Northern Fulmar,2.766%,1.056 [0.980; 1.131],1.891%,1.094 [0.844; 1.338]
Gallinago gallinago,Common Snipe,6.995%,0.708 [0.678; 0.742],6.898%,0.834 [0.699; 0.974]
Gallinula chloropus,Eurasian Moorhen,30.71%,0.825 [0.810; 0.841],30.35%,0.405 [0.361; 0.446]
Gallus gallus,Red Junglefowl,Not in dataset,Not in dataset,0.003%,No estimate
Garrulus glandarius,Eurasian Jay,16.11%,1.135 [1.106; 1.164],15.66%,0.771 [0.690; 0.855]
Gavia adamsii,Yellow-billed Loon,0.024%,No estimate,0.017%,2.711 [0.000; 5.603]
Gavia arctica,Arctic Loon,0.202%,1.250 [0.945; 1.671],0.188%,1.832 [1.008; 2.639]
Gavia immer,Common Loon,0.860%,0.864 [0.761; 0.985],0.598%,1.838 [1.280; 2.420]
Gavia pacifica,Pacific Loon,0.011%,No estimate,0.006%,No estimate
Gavia stellata,Red-throated Loon,2.263%,0.562 [0.514; 0.620],1.815%,1.151 [0.909; 1.435]
Gelochelidon nilotica,Gull-billed Tern,0.001%,No estimate,Not in dataset,Not in dataset
Glareola pratincola,Collared Pratincole,0.032%,2.772 [1.666; 5.167],0.011%,No estimate
Grus grus,Common Crane,0.162%,1.051 [0.798; 1.415],0.292%,2.707 [1.725; 4.015]
Gulosus aristotelis,European Shag,3.167%,1.008 [0.945; 1.074],2.326%,0.493 [0.354; 0.660]
Haematopus ostralegus,Eurasian Oystercatcher,16.04%,1.233 [1.202; 1.266],16.73%,0.819 [0.741; 0.903]
Haliaeetus albicilla,White-tailed Eagle,0.069%,5.451 [3.860; 8.084],0.231%,3.422 [2.468; 4.589]
Himantopus himantopus,Black-winged Stilt,0.001%,No estimate,0.030%,8.245 [3.132; 14.60]
Hippolais icterina,Icterine Warbler,0.012%,No estimate,0.006%,No estimate
Hippolais polyglotta,Melodious Warbler,0.012%,9.500 [4.598; 45.00],0.012%,11.99 [5.838; 17.56]
Hirundo rustica,Barn Swallow,18.32%,1.207 [1.178; 1.237],19.09%,1.126 [1.048; 1.201]
Hydrobates leucorhous,Leach's Storm-Petrel,0.019%,5.833 [3.398; 12.72],0.006%,No estimate
Hydrobates pelagicus,European Storm-Petrel,0.022%,No estimate,0.022%,3.175 [0.000; 6.665]
Hydrocoloeus minutus,Little Gull,0.622%,1.022 [0.890; 1.171],0.390%,1.167 [0.678; 1.834]
Hydroprogne caspia,Caspian Tern,0.020%,5.875 [3.249; 15.00],0.003%,No estimate
Ichthyaetus ichthyaetus,Pallas's Gull,Not in dataset,Not in dataset,0.001%,No estimate
Ichthyaetus melanocephalus,Mediterranean Gull,2.724%,1.326 [1.235; 1.411],1.926%,1.256 [0.950; 1.580]
Iduna caligata,Booted Warbler,0.001%,No estimate,Not in dataset,Not in dataset
Iduna rama,Sykes's Warbler,0.000%,No estimate,Not in dataset,Not in dataset
Ixoreus naevius,Varied Thrush,0.003%,No estimate,Not in dataset,Not in dataset
Junco hyemalis,Dark-eyed Junco,0.001%,No estimate,Not in dataset,Not in dataset
Jynx torquilla,Eurasian Wryneck,0.077%,No estimate,0.028%,3.869 [1.015; 8.156]
Lagopus lagopus,Willow Ptarmigan,0.600%,3.088 [2.718; 3.500],0.533%,1.239 [0.956; 1.548]
